,q_year,q_status,cod_year,type_clean,mw1,region
430,2008.0,withdrawn,2012.0,Geothermal,50.0,CAISO
431,2008.0,operational,2014.0,Solar,125.0,CAISO
432,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
433,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
434,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
435,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
436,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
437,2008.0,withdrawn,2009.0,Gas,49.0,CAISO
438,2008.0,withdrawn,2012.0,Solar,250.0,CAISO
439,2008.0,withdrawn,2013.0,Wind,1150.0,CAISO
440,2008.0,withdrawn,2013.0,Solar,1150.0,CAISO
441,2008.0,withdrawn,2012.0,Gas,730.0,CAISO
442,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
443,2008.0,withdrawn,2011.0,Solar,84.0,CAISO
444,2008.0,withdrawn,2013.0,Solar,141.0,CAISO
445,2008.0,withdrawn,2014.0,Solar,840.0,CAISO
446,2008.0,withdrawn,2010.0,Solar,55.0,CAISO
447,2008.0,withdrawn,2010.0,Solar,50.0,CAISO
448,2008.0,withdrawn,2009.0,Solar,50.0,CAISO
449,2008.0,withdrawn,2010.0,Solar,40.0,CAISO
450,2008.0,withdrawn,2010.0,Solar,40.0,CAISO
451,2008.0,withdrawn,2010.0,Solar,59.0,CAISO
